senkyoShurui,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.選挙資格種類.getCodeShubetsu(),Description,,senkyoShurui,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,shikibetsuCode,A
seq,bigserial,BigSerial,,,,,seq,A
shikakuKubun,UDD035Code,Code,,,,,shikakuKubun,A
tohyokuCode,varchar,RString,,,,,tohyokuCode,A
meiboTorokuYMD,UDD015YMD,FlexibleDate,,,,,最初に名簿に登録された日,A
torokuJiyuCode,UDD035Code,Code,,,,,torokuJiyuCode,A
torokuTeishiYMD,UDD015YMD,FlexibleDate,,,,,torokuTeishiYMD,A
torokuTeishiJiyuCode,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.登録停止事由コード.getCodeShubetsu(),Description,,torokuTeishiJiyuCode,A
hyojiYMD,UDD015YMD,FlexibleDate,,,,,hyojiYMD,A
hyojiJiyuCode,UDD035Code,Code,,,,,hyojiJiyuCode,A
hyojiShojoYMD,UDD015YMD,FlexibleDate,,,,,公民権停止者について表示が消える日を設定,A
hyojiShojoYoteiYMD,UDD015YMD,FlexibleDate,,,,,hyojiShojoYoteiYMD,A
masshoYMD,UDD015YMD,FlexibleDate,,,,,masshoYMD,A
masshoJiyuCode,UDD035Code,Code,,,,,masshoJiyuCode,A
keikiShuryoYMD,UDD015YMD,FlexibleDate,,,,,keikiShuryoYMD,A
nikeimochiFlag,bool,boolean,,,,,True:２刑持ちの場合
False：２刑なしの場合,A
dataTorokuYMD,UDD015YMD,FlexibleDate,,,,,dataTorokuYMD,A
