shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
shinseiNo,int4,int,,,,,申請番号,A
kokuminTohyoKubun,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.国民投票区分.getCodeShubetsu(),Description,,国民投票区分,A
kokuminShohonNo,AfUDD001ShohonNo,ShohonNo,,,,,国民投票抄本番号,A
honsekiTorokuKubun,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.本籍地登録区分.getCodeShubetsu(),Description,,本籍地登録区分,A
kofuNo,varchar,RString,,,,,交付番号,A
kofuYMD,UDD015YMD,FlexibleDate,,,,,交付年月日,A
shikakuKubun,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.選挙資格区分.getCodeShubetsu(),Description,,選挙資格区分,A
tohyokuCode,varchar,RString,,,,,投票区コード,A
meiboTorokuYMD,UDD015YMD,FlexibleDate,,,,,名簿登録年月日,A
hyojiYMD,UDD015YMD,FlexibleDate,,,,,表示年月日,A
hyojiJiyuCode,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.表示事由コード_在外.getCodeShubetsu(),Description,,表示事由コード,A
masshoYMD,UDD015YMD,FlexibleDate,,,,,抹消年月日,A
masshoJiyuCode,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.抹消事由コード_在外.getCodeShubetsu(),Description,,抹消事由コード,A
shuseiKubun,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.修正区分.getCodeShubetsu(),Description,,修正区分,A
shuseiYMD,UDD015YMD,FlexibleDate,,,,,修正年月日,A
saiKofuJiyuCode,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.再交付事由コード.getCodeShubetsu(),Description,,再交付事由コード,A
henkoJiyuCode,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.申請内容変更事由コード.getCodeShubetsu(),Description,,記載事項変更事由コード,A
tokkiJiko,text,RString,,,,,特記事項,A
