shinseiNo,int4,int,,,,,申請番号,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
juteiYMD,UDD015YMD,FlexibleDate,,,,,住定年月日,A
ryojikanCode,varchar,RString,,,,,領事官コード,A
kokusekiCode,varchar,RString,,,,,国籍コード,A
shinseishaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,申請者氏名,A
shinseishaKanaShimei,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,申請者カナ氏名,A
seinengappiYMD,UDD015YMD,FlexibleDate,,,,,生年月日,A
seibetsuCode,varchar,RString,,,,,性別コード,A
shinseiKubun,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.申請区分.getCodeShubetsu(),Description,,申請区分,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
henkoYMD,UDD015YMD,FlexibleDate,,,,,申請内容変更年月日,A
henkoJiyuCode,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.申請内容変更事由コード.getCodeShubetsu(),Description,,申請内容変更事由コード,A
torisageYMD,UDD015YMD,FlexibleDate,,,,,申請取下年月日,A
torisageJiyuCode,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.申請取下事由コード.getCodeShubetsu(),Description,,申請取下事由コード,A
kyakkaYMD,UDD015YMD,FlexibleDate,,,,,却下年月日,A
kyakkaJiyuCode,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.却下事由コード.getCodeShubetsu(),Description,,却下事由コード,A
honsekiShokaiYMD,UDD015YMD,FlexibleDate,,,,,本籍地照会年月日,A
honsekiKaitoYMD,UDD015YMD,FlexibleDate,,,,,本籍地回答年月日,A
honsekiTsuchiYMD,UDD015YMD,FlexibleDate,,,,,本籍地通知年月日,A
tokkiJiko,text,RString,,,,,tokkiJiko,A
