shohonNo,AfUDD001ShohonNo,ShohonNo,,,,,抄本番号,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
senkyoNo,AfUDD002SenkyoNo,SenkyoNo,,,,,選挙番号,A
tohyoJokyo,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.投票状況.getCodeShubetsu(),Description,,投票状況,A
tohyoJiyuCode,UDD035Code,Code,,,,,投票事由コード,A
seikyuYMD,UDD015YMD,FlexibleDate,,,,,請求年月日,A
seikyuHoho,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.請求方法.getCodeShubetsu(),Description,,請求方法,A
uketsukeNo,int4,int,,,,,受付番号,A
kofuYMD,UDD015YMD,FlexibleDate,,,,,交付年月日,A
kofuTime,time,RTime,,,,,交付時刻,A
kofuHoho,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.交付_受理方法.getCodeShubetsu(),Description,,交付方法,A
shisetsuCode,varchar,RString,,,,,施設コード,A
uketoriYMD,UDD015YMD,FlexibleDate,,,,,受取年月日,A
juriYMD,UDD015YMD,FlexibleDate,,,,,受理年月日,A
juriTime,time,RTime,,,,,受理時刻,A
juriHoho,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.交付_受理方法.getCodeShubetsu(),Description,,受理方法,A
juriShisetsuShubetsu,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.施設種別.getCodeShubetsu(),Description,,受理施設種別,A
kikenYMD,UDD015YMD,FlexibleDate,,,,,棄権年月日,A
henkanYMD,UDD015YMD,FlexibleDate,,,,,返還年月日,A
tenjiFlag,bool,boolean,,,,,点字フラグ,A
dairiTohyoAriFlag,bool,boolean,,,,,代理投票有フラグ,A
hojoshaShikibetsuCode1,UDD001ShikibetsuCode,ShikibetsuCode,,,,,補助者識別コード1,A
hojoshaShimei1,UDD042AtenaMeisho,AtenaMeisho,,,,,補助者氏名1,A
hojoshaShikibetsuCode2,UDD001ShikibetsuCode,ShikibetsuCode,,,,,補助者識別コード2,A
hojoshaShimei2,UDD042AtenaMeisho,AtenaMeisho,,,,,補助者氏名2,A
kyohiJiyu,varchar,RString,,,,,拒否事由,A
shomeishoPrintFlag,bool,boolean,,,,,証明書出力フラグ,A
sochiZumiFlag,bool,boolean,,,,,送致済フラグ,A
kijitsuFuzaiKubun,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.期日前不在者区分.getCodeShubetsu(),Description,,期日前不在者区分,A
reamsClientId,varchar,RString,,,,,更新端末ID,A
